slug,book,n,chapter,reference_url,en_prefix,ar_prefix,reference_book,reference_hadith
tirmidhi,Jami' at-Tirmidhi,225,The Book on Salat (Prayer),https://sunnah.com/tirmidhi:225,"Narrator not mentioned:And the Prophet said: ""If the people knew what (reward) is in the call (Adhan) and the first row, and they found no other way to get that","وَقَالَ النَّبِيُّ صلى الله عليه وسلم ‏ ""‏ لَوْ أَنَّ النَّاسَ يَعْلَمُونَ مَا فِي النِّدَاءِ وَالصَّفِّ الأَوَّلِ ثُمَّ",2,77
tirmidhi,Jami' at-Tirmidhi,319,The Book on Salat (Prayer),https://sunnah.com/tirmidhi:319,"It has been related that :the Prophet said: ""Whoever builds a Masjid for (the sake of) Allah, be it small or large, then Allah will build a house for him in Par","وَقَدْ رُوِيَ عَنِ النَّبِيِّ صلى الله عليه وسلم أَنَّهُ قَالَ ‏ ""‏ مَنْ بَنَى لِلَّهِ مَسْجِدًا صَغِيرًا كَانَ أَوْ كَب",2,171
tirmidhi,Jami' at-Tirmidhi,391,The Book on Salat (Prayer),https://sunnah.com/tirmidhi:391,,,2,244
tirmidhi,Jami' at-Tirmidhi,455,The Book on Al-Witr,https://sunnah.com/tirmidhi:455,,,3,4
tirmidhi,Jami' at-Tirmidhi,457,The Book on Al-Witr,https://sunnah.com/tirmidhi:457,,,3,4
tirmidhi,Jami' at-Tirmidhi,458,The Book on Al-Witr,https://sunnah.com/tirmidhi:458,,,3,6
tirmidhi,Jami' at-Tirmidhi,945,The Book on Hajj,https://sunnah.com/tirmidhi:945,,,9,138
tirmidhi,Jami' at-Tirmidhi,1205,The Book on Business,https://sunnah.com/tirmidhi:1205,,,14,1
tirmidhi,Jami' at-Tirmidhi,1208,The Book on Business,https://sunnah.com/tirmidhi:1208,,,14,5
tirmidhi,Jami' at-Tirmidhi,1209,The Book on Business,https://sunnah.com/tirmidhi:1209,,,14,7
tirmidhi,Jami' at-Tirmidhi,1225,The Book on Business,https://sunnah.com/tirmidhi:1225,,,14,24
